iteration,residential_demand_gwh,commercial_demand_gwh,industrial_demand_gwh,coal_cap_gw,combined_cycle_cap_gw,gas_turbine_cap_gw,vapor_turbine_cap_gw,cogeneration_cap_gw,diesel_cap_gw,nonrenewable_waste_cap_gw,nuclear_cap_gw,conventional_hydro_cap_gw,run_of_river_hydro_cap_gw,solar_pv_cap_gw,solar_thermal_cap_gw,wind_cap_gw,other_renewable_cap_gw,renewable_waste_cap_gw,pumped_hydro_turb_cap_gw,pumped_hydro_pump_cap_gw,batteries_cap_gw,cost_coal_eur_gwh,cost_gas_eur_gwh,cost_diesel_eur_gwh,cost_uranium_eur_gwh,eu_ets_price_eur_tco2
1,15.980137257079043,10.817006006584972,7.375940274197715,0.0,24.967573806439837,1.062950472462566,0.4664156133294752,4.166408491834986,0.746702185387625,0.43712403627409113,3.98826098117826,15.515310041511956,1.0966666834713759,42.169001789417386,3.3837925221073832,47.01578232817554,1.634696228316666,0.17336366971173395,6.748609503688513,3.8322903334547793,0.010000000000000002,19050.76966496441,44272.734095238106,41843.94377551993,1819.5289063924602,145.42189970186948
2,15.34988215517873,10.626836883881248,7.187132558354661,0.0,24.480448036476282,1.1198139548919948,0.5227854865080835,4.182219973677605,0.7674962752580489,0.4328379270896518,4.0341209762983326,15.06057099849806,1.0427793531257523,66.67966653698728,7.293221288441506,57.20955237392705,1.6364897481249998,0.17563437569140267,6.616895860039794,3.770832959303419,0.024999999999999956,17892.05473001693,24264.006976046887,53132.521460407675,3194.0377273872978,144.35238145799198
3,15.94316040955179,11.034697180367916,7.458914864613908,0.0,24.67567753789951,1.1841495532802933,0.47379830951404084,4.248243945363048,0.7546379919767879,0.4387726822730035,4.057968173760772,15.454468993393423,1.0006753335925413,76.34819011575004,2.739399494306039,43.91258755150516,1.7043963437618828,0.1646176274077655,6.571302675699837,3.7495592528664106,0.010000000000000002,15104.222321545942,37124.1064810884,42479.274664513236,1924.8420670134794,142.49878997513704
4,15.958567045068254,10.80996722999199,7.382726233819226,0.0,24.70964815280106,1.193393873863299,0.5143084197354176,4.170926527864897,0.8267685707875501,0.4210905507621489,3.7828082030403345,15.32315658534675,1.143149780698807,72.71210625124652,6.376247815595856,61.27291304740653,1.7810295631431186,0.16499719388432565,5.168045779903654,3.094801843638436,0.010000000000000002,14919.564550375846,34760.89613760703,60728.81839856809,1828.2428215238192,144.50166145456467
5,15.79010085519548,10.888325318872422,7.390557839664767,0.0,24.229299750810707,1.1695682514039019,0.5076264721150787,4.30763555481882,0.7091103507057074,0.45180579320889475,3.083901877410417,15.840558337216436,1.145083309755735,47.6730232262762,3.576297170276653,41.86347869505091,1.6364897481249998,0.1747540654961462,6.444654941422202,3.690465623874724,0.024999999999999956,16180.161254527464,29404.08880377427,48796.15866376274,2936.623910017882,131.18496493603362
6,15.831910218457908,10.979161228611211,7.358585314854105,0.0,24.848083143102073,1.201413720209165,0.4755988290041843,4.248540925701772,0.793120485454478,0.43930626006637274,2.631262113,15.027249135919423,1.0925739207535436,76.24010611551863,4.981681997545281,49.6300788199553,1.7493644142874636,0.18579185093914805,6.429457213308877,3.6833743883957193,0.015000000000000019,13672.707562295118,28618.03070967105,63932.845606889874,2436.6515016727963,135.27744252760942
7,14.745151192257444,9.990110175969317,6.832424616323943,0.0,24.588471249665503,1.1550767843470755,0.4716634987561922,4.3565482324912805,0.7885755664254794,0.4442123491398144,3.791980202064342,14.599672959909446,1.1975691393421655,35.935715164554246,1.9704810820500003,44.146790930876485,1.9734278586109073,0.18164831656528466,7.248175749999988,4.065387140000006,0.010000000000000002,21753.31571236571,45428.0241282514,61746.84608984712,1833.06255069273,145.2053730554448
8,14.723706295500353,10.159887035180747,6.863469128588622,0.0,24.8261058562575,1.144807275466603,0.46106858655224775,4.229831868999519,0.77834619387932,0.4052713079738609,4.414143258,15.963116541239518,1.1942137853801122,54.71184566085807,7.800161746299986,63.923448877483324,1.7686498598106135,0.1459734047680297,4.002886624549425,2.5511404569148497,0.010000000000000002,11755.978919089515,19043.778761904767,49572.59159403346,1846.1432901891956,135.37701990592598
9,14.726379550644344,10.130662165266893,6.865434985224509,0.0,24.69586763936432,1.2548409965475427,0.4947964011321914,4.215305037134714,0.7129121216590408,0.466832859962217,2.7500411129362794,16.197584203373136,1.3302585560031184,34.18807303352755,7.800161746299986,47.03032417411647,1.653366040328863,0.16177366122374798,6.4041276664533475,3.6715556625973704,0.010000000000000002,17623.698939534843,19282.33399659759,65264.546209249944,1813.3415456663392,136.86507060721166
10,15.177138926977326,10.494900672314179,7.043303294774403,0.0,24.59328996883913,1.2563385829963063,0.4771048665558379,4.207179719813541,0.7705283040417903,0.44735792620690246,4.00660497922629,15.567564891540902,1.099724349910778,60.19358894631319,5.343453510763553,51.319269424124116,1.8641847586419065,0.16620201804611642,7.248175749999988,4.065387140000006,0.010000000000000002,10982.597549439739,32896.3030084399,56371.409763722324,1735.5438523266685,146.3692037799771
11,14.635122049702991,9.906560911960407,6.755122587972988,0.0,24.30900011187024,1.1960158823059737,0.496439486313445,4.263855408264258,0.8056164329280766,0.4631146441438036,2.959162690683819,15.644061596769685,1.083567788533806,31.294320321533355,1.9704810820500003,47.04505775059701,1.634696228316666,0.18227884494607413,3.9403775000000048,2.5219738000000023,0.010000000000000002,15668.753658775397,40689.79558199445,47147.72812478552,1711.587573536325,154.8171495000001
12,15.183155028331388,10.499060770370162,7.046095206128226,0.0,23.986900077467656,1.1608328045421772,0.48545932391226926,4.352442496766193,0.7565472722846782,0.4403351525875512,3.6562346165089235,14.177083209731462,1.1117394572375185,65.07633013578932,7.585588155442237,60.59957833171393,1.745158694496583,0.16620488344081338,5.4466707953144455,3.224807827420165,0.010000000000000002,12130.363706944345,51451.3872380952,44330.50859072651,1790.149866061718,126.61114729373055
13,14.823741208009656,10.172967822897936,6.900134494382617,0.0,24.799363233705368,1.1304748077995865,0.47762242777792036,4.2025905212045505,0.7605218297116463,0.4266588631798502,3.7864770026499395,16.477586546818678,1.18747831255777,40.4073919931142,1.9705395685499985,39.039358457712616,1.978591661624387,0.17536626220559423,6.140700379155873,3.5486409142946496,0.015000000000000019,14439.368348251495,14421.30662503901,37807.143263497244,2581.6735544306316,146.71700161565704
14,14.868478960172757,10.109129546446662,6.8951659318407525,0.0,24.935403542366377,1.2249633528567279,0.5192471917446082,4.2382075719520325,0.7421934918046816,0.45395752432880027,2.7390347141074605,15.198626434841577,1.1669453010185447,75.35727112989407,7.800426582783322,47.34810039936162,1.7352078621953975,0.18317957743037086,3.9403775000000048,2.5219738000000023,0.015000000000000019,15515.43959415887,34523.00991666819,49354.249629509,2399.4162644033304,125.12487899999999
15,15.875043594237743,10.922558489532953,7.328015689627986,0.0,24.325549797327593,1.1352544370235333,0.5034297213794914,4.238888642022154,0.7595368707465486,0.46701231779908836,3.0967426760440353,14.924715838578582,1.1632542392492407,31.294320321533355,4.072322058662259,53.3099981487807,2.053322066050917,0.17718149348158235,7.248175749999988,4.065387140000006,0.010000000000000002,14975.499767712747,31378.866275760447,50277.29762470168,1966.938488730785,133.9459874413645
