iteration,hour,price,solar_pv,wind,nuclear,conv_hydro,ccgt,cogen,total_gen,ren_gen,non_ren_gen,batt_in,batt_out,ph_in,ph_out,ren_share,lc_share,emissions
1,1,108.91183721042368,0.10042990079047451,9.834768265147167,2.3176424976841323,2.1919433032336757,7.965054676183756,0.6576384104760766,25.43282611928929,14.177074517978456,11.255751601310838,0.2071231323324778,0.8617866047263805,0.06337840603486118,0.9683618135645448,0.5641522496130099,0.6574703815128606,3353.1804739226645
1,2,108.35231782247271,0.09913540773619103,9.499596826090416,2.3187723152617243,2.1883439455726474,7.827627967835049,0.6576384104759461,24.891470678832825,13.771964474995732,11.119506203837092,0.25846375583697334,0.8793733999311725,0.10221591239284879,0.9748017366321342,0.5600743622087586,0.6557154662925926,3303.7187023754577
1,3,108.33768594762337,0.09861192043486215,9.288177658412526,2.316556291268667,2.1995145290505063,8.091086973431443,0.6576384104759564,24.894569241530153,13.514012587510942,11.380556654019209,0.23415972414140326,0.9108455460486142,0.10010331382456532,0.9788438983366392,0.5504442979993088,0.6461551319566454,3398.519662163285
1,4,108.99181442947359,0.09982390733965023,9.20803256520773,2.316556291268667,2.2631098053040666,9.0437712566283,0.6576384104762388,25.753488096598755,13.42117403875413,12.332314057844625,0.20086548499331966,1.1894200429397308,0.09445746664190245,1.1348828097053034,0.5330757929532927,0.6264715264665562,3741.272821858833
1,5,110.77865617035533,0.6310497168626027,9.170364639180029,2.316556291268667,2.3996262084763074,9.271661022218625,0.6576384104774785,26.524440422910363,13.965575425584248,12.558864997326122,0.04991327076235978,2.3231170251216886,0.08048140136938106,1.740419768030732,0.5327029994374752,0.624077497445402,3823.005207466778
1,6,110.08224260027323,4.750593206146966,8.989813248375077,2.318239139108406,2.2995531938002607,8.052284436838567,0.6576384104788798,29.124003725191294,17.784789211455255,11.339214513736042,0.006841016793069638,2.483572981091584,0.14255721410789104,1.7083301948356762,0.6162818244354499,0.6986503152306733,3383.5795851388443
1,7,85.43683430298765,13.411239688997764,8.612884196679405,2.3204480359854736,1.9035984708608005,5.809055355977827,0.6576384104736531,34.822722480068265,25.72684534983125,9.095877130237009,0.7426912651462617,1.5861041333918964,1.047443260324075,0.6271218004411677,0.7438324595993224,0.8102388892305299,2575.484160137561
1,8,54.897937068507396,21.770727078747477,7.776062781962966,2.3203716740284426,1.4984117677500368,3.6442193641662493,0.6576384104639171,39.74997544760539,32.82168832446619,6.928287123139199,2.2562305579423994,1.2043887138932965,2.3037437958146527,0.16317509721969709,0.825766019743062,0.8838328841452658,1795.5273428147564
1,9,39.577791148730014,26.8826358034378,7.1898691977683935,2.3196192542118244,1.2145298070851152,2.4438418081787314,0.6576384104595151,42.80201411545732,37.07758611510625,5.724428000351076,3.5783162733804956,0.7570445276699533,2.80783219574821,0.025312273284876147,0.8652813768922447,0.9195802544346812,1362.7637188501967
1,10,33.6611718043426,29.498310907414425,6.563271343844465,2.3197979411912777,1.1650988446811166,1.765635731272878,0.6576384104587465,44.082611353085454,39.038785409382726,5.043825943702722,4.479719750438322,0.7823828796665651,2.979591203532838,0.0025061739676519056,0.8841673964207393,0.9371420406221043,1118.017357817355
1,11,33.293397244387506,30.11783057710891,6.939100501044434,2.3197979411912777,1.110860138155438,1.542950564408709,0.6576384104588269,44.79207115327773,39.973350562896925,4.818720590380793,4.930688577400574,0.7981718826722182,3.061287189944508,0.0008150271613014997,0.8908853140806878,0.9431822286128398,1037.2940548607994
1,12,33.554178234673905,30.36505011852918,6.913808650029882,2.3144765309456012,1.0643350016979531,1.5019306137087427,0.6576384104589096,44.88364061211953,40.11302559720922,4.770615014910306,5.040263757204409,0.7992635007479498,3.0574924051044547,0.0025759319719854757,0.8923142722969105,0.9444388677425243,1022.1211032680754
1,13,34.19045931249412,29.138510857017575,7.51639755970277,2.312317184493985,1.033589682417617,1.5253210286519925,0.6576384104588897,44.31186979712755,39.51770651386859,4.794163283258969,5.043071814665189,0.7892594853168223,3.0397532622608616,0.011984240876219495,0.8903428090869555,0.9430782663763241,1031.0746086147483
1,14,34.63712365862673,28.07649439616857,7.4864761605724865,2.3118059411916585,1.0659014320476183,1.5893463517745618,0.6576384104583981,43.426329405332574,38.56587140270761,4.860458002624971,4.599229500617352,0.7536973220484392,3.00496639636798,0.016052813411888613,0.8867616113102239,0.9403362203673462,1054.7632720344798
1,15,39.477270349525,24.611492411557318,8.418393789370032,2.3118059411916585,1.2215735121909275,2.0787269161769437,0.6576384104600044,41.76076843358378,36.40809773298236,5.352670700601422,3.1514036625460258,0.8017660382228542,2.764699936591101,0.06595543471797961,0.8708464450323671,0.9257620384101554,1231.5916659425693
1,16,63.63916698294249,17.76741426505453,9.784794025014442,2.3121191524854163,1.6088370043553335,4.040893908311273,0.6576384104674413,39.01091496592535,31.692983421973167,7.317931543952185,1.9119396328301481,1.47783694316313,1.8398161751928608,0.2815753235591935,0.8068201422054257,0.864951766378927,1938.6113302969384
1,17,89.09818295718267,9.494267535952385,10.972540730348733,2.3121191524854163,2.119193887985061,6.833695547969956,0.6576384104745046,35.840785158352425,25.727477309098347,10.113307849254078,0.2782412256328448,2.183654057069166,0.9562654351943584,0.9913366782432222,0.7081507724475149,0.7720753402185497,2944.6120936760294
1,18,114.07665690039259,2.9462405890858876,11.143596815431845,2.313144948108208,2.5974989574113505,10.369811695167872,0.6576384104804506,33.35498731371107,19.702220322851435,13.652766990859627,0.0,3.148971884964215,0.006292717548853486,2.259068382573282,0.5973738500061777,0.6689335363030828,4218.146862390836
1,19,114.2272468630061,0.4267986279747094,11.171869851401459,2.314013268406276,2.7487151570357633,13.297259297627125,0.6576384104797005,33.479893090164325,16.896853430951975,16.583039659212346,0.009360942689306668,3.311224574558085,0.0,2.5820985771180793,0.5186637844664448,0.590842022784763,5272.478050762913
1,20,113.65957173725812,0.16953875971915386,11.248666416736905,2.314235566547857,2.6678087048824155,14.01275035439638,0.6576384104785963,33.75939279859314,16.458991998574454,17.300400800018675,0.01672767246301469,2.282768001271832,0.0,1.867236668992178,0.5035011517678719,0.5744305823836029,5530.433821955431
1,21,112.96771329887427,0.13307104106873277,11.220772282561965,2.314235566547857,2.4997232890885748,12.48032124111802,0.6576384104771058,31.916606940686485,16.147553894318655,15.76905304636783,0.026969518888559897,1.594702798625188,0.0,1.4158623737252196,0.5191663313945037,0.5934583529550159,4979.008053889056
1,22,112.81326364881268,0.10244418888599363,11.042676389601407,2.315315324620284,2.3800642054025354,10.814342039337488,0.6576384104770779,29.855186734241993,15.750724171425835,14.104462562816163,0.04851188036582954,1.2211347807356736,0.0,1.190680696765865,0.5372704764978502,0.6160066240360413,4379.32660208403
1,23,111.4421865881189,0.09908419701047605,10.752532675727887,2.316047890328074,2.28108348139042,9.615848428072601,0.6576384104768171,28.20600636165324,15.299201857803407,12.906804503849834,0.15812005269131743,0.9577671755059011,0.004907440904781277,0.9495661771918364,0.5500709018087128,0.6328331992737084,3947.89258894436
1,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1,91.6485067543149,0.07575597730318519,11.453512066288399,3.3119709209312993,3.18057686365148,3.509330313683513,0.645801707287343,24.132603276743794,16.354694535185022,7.777908741558768,0.15988095136813538,0.42828565863623574,0.10789164737775347,0.44994171404851596,0.6729372827590611,0.8127179730547974,1743.668494199734
2,2,91.53023322587534,0.0736793566627523,11.267359648801824,3.312044473072796,3.110836002190961,3.3064136276621254,0.6458017072872982,23.651620515481216,16.077008367740483,7.574612147740727,0.24853731309194496,0.3810792669070655,0.1192154142967732,0.43221698950472043,0.6743952049421762,0.8172758054285342,1670.514191446243
2,3,91.32053168099148,0.07370932850745959,11.144343501841222,3.312044473072796,3.0933379727471157,3.431353768184612,0.645801707287257,23.61827733594518,15.919429938180496,7.698847397764682,0.2763485277471265,0.41256361371689226,0.12993675343032654,0.46983628199651345,0.6685692269959896,0.812056179005454,1715.3305172196565
