iteration,month,price,solar_pv,wind,nuclear,conv_hydro,ccgt,cogen,total_gen,ren_gen,non_ren_gen,batt_in,batt_out,ph_in,ph_out,ren_share,lc_share,emissions
1,1,100.74088710395101,2.909442065229771,11.080252295239504,3.9882105485714217,5.3873035714283395,10.73753544309946,0.6401970177561436,36.87197007616264,21.181837014987444,15.6901330611752,0.0004848845979251636,0.0005270305632791782,0.18735106369951154,0.2688310544126492,0.5779442624416115,0.6894553606990411,4341.88386809587
1,2,52.63662930048432,3.0173732848396986,16.147215367523557,3.9882105485714217,5.051767857142543,4.294741108275041,0.6281193137749769,35.09505232265631,25.88776203355636,9.207290289099957,0.002080082941231739,0.0016190454951501589,0.9657589371462366,0.4665735451053624,0.7339697991821554,0.8509251566996576,2010.1265639248786
1,3,72.82642787851094,4.002344582693924,7.9539863012552,3.9882105485714217,5.539499999999715,9.3648600256671,0.6268915828700339,33.50080021663691,19.197376547550128,14.303423669086783,0.0,0.0,0.0,0.0,0.5744224188314904,0.6967393990765982,3841.033490555846
1,4,66.37262204242163,7.3862876194223945,12.090696860924762,3.4245981490669624,2.800529761904522,3.8754820007735007,0.6268933516970366,32.378510844328346,24.134268421693484,8.244242422634864,0.0020049959123111163,0.0018044948623938235,0.8981645909847261,0.6736234419240453,0.7319569332770539,0.8423315899353627,1863.4339723931691
1,5,72.15506594655004,9.867590725855491,7.588925695471948,3.9597281334727534,2.1964761904760115,5.241965015882809,0.6256715907938677,32.31231745969036,22.167319528782013,10.144997930908337,0.002065367356692762,0.0018588275049216713,1.1374221427777196,0.8530666049692082,0.6622591881225611,0.7898832611845101,2354.8529770067207
1,6,89.2028350801959,9.8945527722418,7.070953472883078,2.8401963083002113,1.6103452380950505,6.604736157990631,0.6265176724907955,31.77499759500691,21.382141468371817,10.392856126635088,0.0017168626313181885,0.0015451744095509323,0.7090279409667136,0.5317709549839141,0.6456003138296069,0.737996458460727,2846.732911535329
1,7,99.13498630833877,10.383580092766074,9.53234014959756,3.937888012901381,2.8157321428569473,5.947495632572999,0.6240233025806169,36.48651522881756,25.65588442782172,10.830630800995841,0.0019405035359000332,0.0017517354491669345,0.7249989757034344,0.5437509676471555,0.6795947726655968,0.7916795784469525,2608.862190096298
1,8,102.66419285071858,10.40678784895413,7.956532222201852,3.9879103544831143,2.3751666666665177,5.795528909313739,0.6233332083142065,33.9738099453356,23.247426816215782,10.726383129119819,0.002047577744875983,0.0018428165967374597,1.043242910520731,0.7824351414194136,0.6595161192958324,0.781335445867415,2553.4449884587166
1,9,142.67699466846014,8.60017300133446,6.537262531828388,3.9874503904300282,1.8821309523808443,10.75413770405703,0.6233345350133969,34.97318471473515,19.28503474721798,15.688149967517163,0.0010317464968001302,0.000830235172539616,0.4203171039165718,0.31523782670706346,0.5216535501141443,0.6385343792745284,4339.376641289297
1,10,201.53424290075293,7.877599621081244,11.169622006014547,0.9969775886207782,1.3174880952380061,8.68904153446948,0.6348981774265078,32.951644537100705,22.307525917825643,10.644118619275055,0.0017993364653646666,0.0018574980546797934,0.5624185678895292,0.6795595816667844,0.6593128407471722,0.6905673477293306,3601.602220598591
