variable,value_estimate,source,type_estimate,weight,link,section_page
other_renewable_cap_gw,1.73,Red Eléctrica,central,1,https://www.ree.es/sites/default/files/14_OPERACION/Documentos/Red_Electrica_SpanishPeninsularPowerSystem_NRAA_23_v3.pdf,Page 35
renewable_waste_cap_gw,NA,NA,none,1,NA,NA
batteries_cap_gw,2.5,Red Eléctrica,central,1,https://www.ree.es/sites/default/files/14_OPERACION/Documentos/Red_Electrica_SpanishPeninsularPowerSystem_NRAA_23_v3.pdf,Page 35
batteries_cap_gw,9.4,PNIEC,central,1,https://www.miteco.gob.es/content/dam/miteco/es/energia/files-1/pniec-2023-2030/PNIEC_2024_240924.pdf,Page 631
batteries_cap_gw,6.6,Aurora Energy Research,central,1,Aurora report 2025,NA
cost_coal_eur_gwh,15130,Heat roadmap EU,central,0.5,https://heatroadmap.eu/wp-content/uploads/2020/01/HRE4_D6.1-Future-fuel-price-review.pdf,page 13
cost_coal_eur_gwh,21210,Heat roadmap EU,upper bound,0.2,https://heatroadmap.eu/wp-content/uploads/2020/01/HRE4_D6.1-Future-fuel-price-review.pdf,page 13
cost_coal_eur_gwh,11050,Heat roadmap EU,lower bound,0.2,https://heatroadmap.eu/wp-content/uploads/2020/01/HRE4_D6.1-Future-fuel-price-review.pdf,page 13
cost_gas_eur_gwh,30000,Aurora Energy Research,central,1,Aurora report 2025,page 98
cost_gas_eur_gwh,46000,Aurora Energy Research,upper bound,0.5,Aurora report 2025,page 98
cost_gas_eur_gwh,20000,Aurora Energy Research,lower bound,0.5,Aurora report 2025,page 98
cost_gas_eur_gwh,35550,Heat roadmap EU,central,0.5,https://heatroadmap.eu/wp-content/uploads/2020/01/HRE4_D6.1-Future-fuel-price-review.pdf,page 13
cost_gas_eur_gwh,47110,Heat roadmap EU,upper bound,0.2,https://heatroadmap.eu/wp-content/uploads/2020/01/HRE4_D6.1-Future-fuel-price-review.pdf,page 13
cost_gas_eur_gwh,23620,Heat roadmap EU,lower bound,0.2,https://heatroadmap.eu/wp-content/uploads/2020/01/HRE4_D6.1-Future-fuel-price-review.pdf,page 13
cost_gas_eur_gwh,36600,Heat roadmap EU,specific scenario,0.5,https://iea.blob.core.windows.net/assets/89a1aa9a-e1bd-4803-b37b-59d6e7fba1e9/GlobalEnergyandClimateModelDocumentation2024.pdf,page 21
cost_gas_eur_gwh,29000,Heat roadmap EU,specific scenario,0.5,https://iea.blob.core.windows.net/assets/89a1aa9a-e1bd-4803-b37b-59d6e7fba1e9/GlobalEnergyandClimateModelDocumentation2024.pdf,page 21
cost_gas_eur_gwh,24600,Heat roadmap EU,specific scenario,0.5,https://iea.blob.core.windows.net/assets/89a1aa9a-e1bd-4803-b37b-59d6e7fba1e9/GlobalEnergyandClimateModelDocumentation2024.pdf,page 21
cost_diesel_eur_gwh,49150,Heat roadmap EU,central,0.5,https://heatroadmap.eu/wp-content/uploads/2020/01/HRE4_D6.1-Future-fuel-price-review.pdf,page 13
cost_diesel_eur_gwh,62290,Heat roadmap EU,upper bound,0.2,https://heatroadmap.eu/wp-content/uploads/2020/01/HRE4_D6.1-Future-fuel-price-review.pdf,page 13
cost_diesel_eur_gwh,42460,Heat roadmap EU,lower bound,0.2,https://heatroadmap.eu/wp-content/uploads/2020/01/HRE4_D6.1-Future-fuel-price-review.pdf,page 13
cost_uranium_eur_gwh,NA,NA,none,1,NA,NA
eu_ets_price_eur_tco2,146,Bloomberg,central,1,"https://www.homaio.com/post/what-are-the-eua-price-forecasts-for-2030#:~:text=All%20experts%20agree%20on%20an,average%2C%20experts%20believe%20carbon%20prices",See the graph and comments
eu_ets_price_eur_tco2,135,Morgan stanley,central,1,"https://www.homaio.com/post/what-are-the-eua-price-forecasts-for-2030#:~:text=All%20experts%20agree%20on%20an,average%2C%20experts%20believe%20carbon%20prices",See the graph and comments
eu_ets_price_eur_tco2,130,Aurora Energy Research,central,1,Aurora report 2025,"Eyesight, page 195"
