Scenario,Renewable Share (%),Ren. Share Std Dev (%),Ren. Share 5th Pct (%),Ren. Share 95th Pct (%),Prob. Target (%),Avg. Emissions (MtCO2),Avg. Price (€/MWh),Solar Curtailment (%),Wind Curtailment (%),LOE Hours,EENS (GWh),Demand (TWh),Consumer Surplus (€B)
baseline,71.94431304748882,5.734463725913469,62.23712710499286,80.58239210678485,4.0,5.218249211869733,77.11129049564619,3.411188192425275,3.8149578295083373,0.0,0.0,0.28447868554299005,623.2268705553265
nuclear,68.10979739407723,4.502080281745867,60.55556158017218,74.42108027194723,0.0,4.225284894629002,67.93661564782177,6.892465414717802,7.241371892321048,0.0,0.0,0.2868118893204887,638.2018667092188
optimistic,72.91610478724091,5.87780118614903,64.18469316933101,80.74305929427301,4.0,4.909160077836048,79.07641141770962,2.8608571855033427,3.297505608853848,0.0,0.0,0.2847951213259237,338.8866655291902
climate change,68.91119478177058,6.3900519915753415,58.458235434098604,77.58060229255425,2.0,5.988292106550659,82.45317925620901,2.4312816688417174,2.6271961570568836,0.0,0.0,0.28833834408782055,587.7314553284391
no batteries,69.92156988776375,5.071590833810338,60.544495103728984,78.62742478075556,1.0,5.7713519760883765,78.53055482698423,5.278675858032697,5.766926396922824,0.0,0.0,0.28703738637324216,647.5183597024011
