Scenario,Renewable gen. (%),Low carbon gen. (%),CC gas gen. (%),Battery out (%),Emissions (MtCO2),Price (€/MWh)
Baseline,71.94431304748882,79.76717938150354,17.541996138206894,3.193577979208577,5.218249211869733,77.11129049564619
Nuclear,68.10979739407723,83.92918638957771,13.420295057606582,1.933723127093714,4.225284894629002,67.93661564782177
Optimistic,72.9161047872409,81.01681544348658,16.296012911830633,3.85895939915944,4.909160077836048,79.07641141770962
Climate change,68.91119478177058,76.75923314739278,20.477211590426368,2.730953215905674,5.98829210655066,82.45317925620901
No batteries,69.92156988776375,77.57150935478096,19.667786638646582,0.010752780988728082,5.771351976088375,78.53055482698423
