Scenario,coal_cap_gw,combined_cycle_cap_gw,gas_turbine_cap_gw,vapor_turbine_cap_gw,cogeneration_cap_gw,diesel_cap_gw,nonrenewable_waste_cap_gw,nuclear_cap_gw,conventional_hydro_cap_gw,run_of_river_hydro_cap_gw,solar_pv_cap_gw,solar_thermal_cap_gw,wind_cap_gw,other_renewable_cap_gw,renewable_waste_cap_gw,pumped_hydro_turb_cap_gw,pumped_hydro_pump_cap_gw,batteries_cap_gw
baseline,0.0,24.68109333297225,1.143744141703763,0.4852419574660554,4.249464225254436,0.766931891834549,0.4311266575910166,3.499039851599686,15.402339216263222,1.1576582604741072,53.7708816321463,4.756294685526946,51.97947653602175,1.8144119180135625,0.16845770485953843,5.784810283141118,3.3825831682507186,6.878820866337366
nuclear,0.0,24.612508689567058,1.1433178466355818,0.4869906482468103,4.255132206324683,0.7693975975479117,0.4377822238408215,7.117290000000012,15.342166514582262,1.1502327422207013,52.43248180079423,4.657000303696475,50.56081627892373,1.8264236450630538,0.16698163614411338,5.655874154142387,3.3224217779650207,3.2046034341384613
optimistic,0.0,24.63462441654286,1.143743125473362,0.4848702086432705,4.248957067896568,0.7688047842923793,0.43376437052376127,3.6227196563132598,15.263029559663122,1.1482049043615707,52.70687250029888,4.823024729031305,52.289941410701765,1.7934523764573307,0.16851968296091047,5.710522058253115,3.34792040207474,9.028112919573076
climate change,0.0,24.60402317730046,1.1582196866381602,0.48567066385053037,4.2548013300472505,0.776358616367143,0.4337932075673551,3.5489707537180326,15.183381095688087,1.1495313164101248,50.26667715402689,4.386417133568442,51.42978435331319,1.798931229670627,0.16628818359720385,5.749528929255655,3.3661209453082876,6.495639791642048
no batteries,0.0,24.658194645946732,1.1434510026916267,0.48247340198099087,4.239200457135135,0.7662170302468035,0.4319196584089321,3.4368751515202858,15.315246824100004,1.1625174708733723,53.02070571353106,4.630326495762311,51.690173254380994,1.8158008008769613,0.1674905903002653,5.849400969890444,3.4127210787380586,0.01749999999999996
