time_long,year,month,day,hour,spot_price_eur_mwh,residential_demand_gwh,commercial_demand_gwh,industrial_demand_gwh,coal_cap_gw,combined_cycle_cap_gw,gas_turbine_cap_gw,vapor_turbine_cap_gw,cogeneration_cap_gw,diesel_cap_gw,nonrenewable_waste_cap_gw,nuclear_cap_gw,conventional_hydro_cap_gw,run_of_river_hydro_cap_gw,pumped_hydro_turbine_cap_gw,pumped_hydro_pump_cap_gw,solar_pv_cap_gw,solar_thermal_cap_gw,wind_cap_gw,other_renewable_cap_gw,renewable_waste_cap_gw,batteries_cap_gw,coal_gen_gwh,combined_cycle_gen_gwh,gas_turbine_gen_gwh,vapor_turbine_gen_gwh,cogeneration_gen_gwh,diesel_gen_gwh,nonrenewable_waste_gen_gwh,nuclear_gen_gwh,conventional_hydro_gen_gwh,run_of_river_hydro_gen_gwh,pumped_hydro_gen_gwh,pumped_hydro_consumption_gwh,solar_pv_gen_gwh,solar_thermal_gen_gwh,wind_gen_gwh,other_renewable_gen_gwh,renewable_waste_gen_gwh,batteries_gen_gwh,nuclear_cap_factor,solar_pv_cap_factor,solar_thermal_cap_factor,wind_cap_factor,imports_France_gwh,exports_France_gwh,net_flows_France_gwh,imports_Portugal_gwh,exports_Portugal_gwh,net_flows_Portugal_gwh,imports_Morocco_gwh,exports_Morocco_gwh,net_flows_Morocco_gwh,cost_coal_eur_gwh,cost_gas_eur_gwh,cost_diesel_eur_gwh,cost_uranium_eur_gwh,eu_ets_price_eur_tco2
2023-01-08T00:00:00Z,2023,1,8,0,5.0,0.010807468028525545,0.0065041105142074045,0.00563850479060038,0.003464365,0.026250145,0.0011486500000000002,0.00048264,0.0056287640000000005,0.0007686699999999999,0.000425663,0.00711729,0.0157714,0.0011548,0.0034175,0.002278,0.022951805,0.002302381,0.030278493,0.001104163,0.00017011200000000001,2.5e-5,0.00018891666666667002,0.00258033333333333,0.000103,0.000123,3.676357579999999e-5,0.00020266666666667,1.3802799999999991e-5,0.00503716666666667,0.002278,0.000975,0.00016700000000000002,0.002577,4.558333333333e-5,1.0e-6,0.01440225,0.00028533333333333,1.24492857e-5,0.0,0.9999873547375476,0.00198604568718364,0.00043433297964151,0.4756594061666147,0.0,0.0007213899999999999,-0.0007213899999999999,0.0001789175,0.0,0.0001789175,0.0,4.7675e-6,-4.7675e-6,2.0064015839730274e7,6.493000000000001e7,7.032971817114171e7,2.9728630853000567e6,90.13
2023-01-08T01:00:00Z,2023,1,8,1,4.2,0.009663067919194811,0.0063617925641804955,0.0055948895166246905,0.003464365,0.026250145,0.0011486500000000002,0.00048264,0.0056287640000000005,0.0007686699999999999,0.000425663,0.00711729,0.0157714,0.0011548,0.0034175,0.002278,0.022951805,0.002302381,0.030278493,0.001104163,0.00017011200000000001,2.5e-5,0.000189,0.00254591666666667,0.00010324999999999999,0.00012291666666667002,3.654306059999999e-5,0.00018408333333333,1.389255e-5,0.005041333333333331,0.002053,0.0009649999999999999,8.5e-5,0.003375,4.591666666667e-5,1.0e-6,0.01397058333333333,0.00028591666666667,1.25747857e-5,0.0,0.9999873547375476,0.00200056887319624,0.00043433297964151,0.46140286220101273,0.0,0.000726935,-0.000726935,0.000225195,0.0,0.000225195,1.53625e-5,0.0,1.53625e-5,2.0064015839730274e7,6.493000000000001e7,7.032971817114171e7,2.9728630853000567e6,90.13
2023-01-08T02:00:00Z,2023,1,8,2,4.16,0.008962310262627298,0.0062439630202638366,0.005548810050442195,0.003464365,0.026250145,0.0011486500000000002,0.00048264,0.0056287640000000005,0.0007686699999999999,0.000425663,0.00711729,0.0157714,0.0011548,0.0034175,0.002278,0.022951805,0.002302381,0.030278493,0.001104163,0.00017011200000000001,2.5e-5,0.000189,0.0025292500000000002,8.591666666667e-5,0.000123,3.8733128999999996e-5,0.00017549999999999998,1.39615e-5,0.00504041666666667,0.001992,0.00095,9.3e-5,0.003814,4.558333333333e-5,1.0e-6,0.01333391666666667,0.00028416666666667003,1.28124286e-5,0.0,0.9999873547375476,0.00198604568718364,0.00043433297964151,0.4403758359660327,0.0,0.0007316975,-0.0007316975,0.00025540999999999997,0.0,0.00025540999999999997,1.7555e-5,0.0,1.7555e-5,2.0064015839730274e7,6.493000000000001e7,7.032971817114171e7,2.9728630853000567e6,90.13
2023-01-08T03:00:00Z,2023,1,8,3,4.16,0.008607758142097964,0.006185398035307906,0.005465510489260803,0.003464365,0.026250145,0.0011486500000000002,0.00048264,0.0056287640000000005,0.0007686699999999999,0.000425663,0.00711729,0.0157714,0.0011548,0.0034175,0.002278,0.022951805,0.002302381,0.030278493,0.001104163,0.00017011200000000001,2.5e-5,0.00018883333333333,0.0025419166666666698,8.366666666667e-5,0.00012308333333333,3.87378387e-5,0.00017324999999999998,1.41819e-5,0.00504191666666667,0.0021190000000000002,0.000955,9.3e-5,0.003846,4.591666666667e-5,1.0e-6,0.01264175,0.00027758333333333004,1.27207143e-5,0.0,0.9999873547375476,0.00200056887319624,0.00043433297964151,0.4175158255069035,0.0,0.0007286575,-0.0007286575,0.00030157999999999997,0.0,0.00030157999999999997,7.12249999999999e-6,0.0,7.12249999999999e-6,2.0064015839730274e7,6.493000000000001e7,7.032971817114171e7,2.9728630853000567e6,90.13
2023-01-08T04:00:00Z,2023,1,8,4,4.16,0.008630108031831514,0.006291650053597347,0.005399825247904466,0.003464365,0.026250145,0.0011486500000000002,0.00048264,0.0056287640000000005,0.0007686699999999999,0.000425663,0.00711729,0.0157714,0.0011548,0.0034175,0.002278,0.022951805,0.002302381,0.030278493,0.001104163,0.00017011200000000001,2.5e-5,0.00018891666666667002,0.00253325,8.475e-5,0.00012241666666667,3.64512424e-5,0.00017591666666667003,1.434365e-5,0.0050427499999999995,0.001987,0.00094,7.7e-5,0.003859,4.575e-5,1.0e-6,0.01281691666666667,0.000277,1.27956429e-5,0.0,0.9999873547375476,0.00199330728018994,0.00043433297964151,0.423301009950088,0.0,0.0007519525,-0.0007519525,0.00033071,0.0,0.00033071,0.0,3.6225e-6,-3.6225e-6,2.0064015839730274e7,6.493000000000001e7,7.032971817114171e7,2.9728630853000567e6,90.13
2023-01-08T05:00:00Z,2023,1,8,5,4.16,0.00898627425518764,0.006665459887348103,0.005114849190797583,0.003464365,0.026250145,0.0011486500000000002,0.00048264,0.0056287640000000005,0.0007686699999999999,0.000425663,0.00711729,0.0157714,0.0011548,0.0034175,0.002278,0.022951805,0.002302381,0.030278493,0.001104163,0.00017011200000000001,2.5e-5,0.00019225,0.00263725,8.716666666667e-5,0.00012225,3.6329e-5,0.00018125,1.424535e-5,0.00504616666666667,0.002045,0.000944,7.4e-5,0.003777,4.566666666667e-5,1.0e-6,0.01284508333333333,0.00027608333333333,1.2844357100000001e-5,0.0,0.9999873547375476,0.00198967648368701,0.00043433297964151,0.4242312632049861,0.0,0.0007837025,-0.0007837025,0.00038806750000000003,0.0,0.00038806750000000003,2.695e-6,0.0,2.695e-6,2.0064015839730274e7,6.493000000000001e7,7.032971817114171e7,2.9728630853000567e6,90.13
2023-01-08T06:00:00Z,2023,1,8,6,4.16,0.009917598295848594,0.006775840686977251,0.004828477683840825,0.003464365,0.026250145,0.0011486500000000002,0.00048264,0.0056287640000000005,0.0007686699999999999,0.000425663,0.00711729,0.0157714,0.0011548,0.0034175,0.002278,0.022951805,0.002302381,0.030278493,0.001104163,0.00017011200000000001,2.5e-5,0.00023258333333333,0.0026894166666666702,8.441666666667e-5,0.00012233333333333,3.76194375e-5,0.00019191666666667,1.46506e-5,0.00504608333333333,0.0021000000000000003,0.000939,8.0e-5,0.0035659999999999997,4.575e-5,1.0e-6,0.01295283333333333,0.00027600000000000004,1.31175714e-5,0.0,0.9999873547375476,0.00199330728018994,0.00043433297964151,0.427789894739257,0.0,0.0006849575,-0.0006849575,0.00035697,0.0,0.00035697,1.675e-7,0.0,1.675e-7,2.0064015839730274e7,6.493000000000001e7,7.032971817114171e7,2.9728630853000567e6,90.13
2023-01-08T07:00:00Z,2023,1,8,7,4.16,0.01080951359002879,0.006864696947985611,0.00449470612865227,0.003464365,0.026250145,0.0011486500000000002,0.00048264,0.0056287640000000005,0.0007686699999999999,0.000425663,0.00711729,0.0157714,0.0011548,0.0034175,0.002278,0.022951805,0.002302381,0.030278493,0.001104163,0.00017011200000000001,2.5e-5,0.00030125000000000003,0.00286308333333333,7.866666666667e-5,0.00012683333333332998,3.6380696999999994e-5,0.00020091666666667,1.504445e-5,0.005042,0.0021469999999999996,0.0009649999999999999,1.9e-5,0.0035,7.366666666667e-5,1.0e-6,0.01318933333333333,0.00027783333333332997,1.34647857e-5,0.0,0.9999873547375476,0.00320962410872129,0.00043433297964151,0.4356007194061253,0.0,0.0006708475,-0.0006708475,0.0003719625,0.0,0.0003719625,1.0974999999999999e-6,0.0,1.0974999999999999e-6,2.0064015839730274e7,6.493000000000001e7,7.032971817114171e7,2.9728630853000567e6,90.13
2023-01-08T08:00:00Z,2023,1,8,8,5.0,0.01232826296928029,0.007175050783260583,0.004457269580792455,0.003464365,0.026250145,0.0011486500000000002,0.00048264,0.0056287640000000005,0.0007686699999999999,0.000425663,0.00711729,0.0157714,0.0011548,0.0034175,0.002278,0.022951805,0.002302381,0.030278493,0.001104163,0.00017011200000000001,2.5e-5,0.00037,0.0024575,7.641666666667e-5,0.00013441666666667,3.60999091e-5,0.00021258333333332998,1.4990049999999999e-5,0.00504175,0.002251,0.0009509999999999999,5.5e-5,0.003594,0.0004260833333333301,9.1666666666999e-7,0.01430916666666667,0.00027891666666667,1.33502143e-5,0.0,0.9999873547375476,0.01856426252023882,0.00039813856467283,0.47258516685974655,0.0,0.00067618,-0.00067618,0.000521515,0.0,0.000521515,0.0,2.269999999999999e-5,-2.269999999999999e-5,2.0064015839730274e7,6.493000000000001e7,7.032971817114171e7,2.9728630853000567e6,90.13
2023-01-08T09:00:00Z,2023,1,8,9,5.1,0.014147503409730677,0.007498410179856019,0.004580586410413303,0.003464365,0.026250145,0.0011486500000000002,0.00048264,0.0056287640000000005,0.0007686699999999999,0.000425663,0.00711729,0.0157714,0.0011548,0.0034175,0.002278,0.022951805,0.002302381,0.030278493,0.001104163,0.00017011200000000001,2.5e-5,0.0004325,0.00288716666666667,5.8e-5,0.00014958333333333,3.53368529e-5,0.00023449999999999998,1.4949299999999991e-5,0.005045833333333331,0.00222,0.00099,0.000118,0.003604,0.0011332500000000001,1.0e-6,0.015292166666666671,0.000279,1.3109571400000001e-5,0.0,0.9999873547375476,0.04937520164536078,0.00043433297964151,0.5050504550099858,0.0,0.0005899675,-0.0005899675,0.0004901525,0.0,0.0004901525,0.0,1.0330000000000001e-5,-1.0330000000000001e-5,2.0064015839730274e7,6.493000000000001e7,7.032971817114171e7,2.9728630853000567e6,90.13
