iteration,residential_demand_gwh,commercial_demand_gwh,industrial_demand_gwh,coal_cap_gw,combined_cycle_cap_gw,gas_turbine_cap_gw,vapor_turbine_cap_gw,cogeneration_cap_gw,diesel_cap_gw,nonrenewable_waste_cap_gw,nuclear_cap_gw,conventional_hydro_cap_gw,run_of_river_hydro_cap_gw,solar_pv_cap_gw,solar_thermal_cap_gw,wind_cap_gw,other_renewable_cap_gw,renewable_waste_cap_gw,pumped_hydro_turb_cap_gw,pumped_hydro_pump_cap_gw,batteries_cap_gw,cost_coal_eur_gwh,cost_gas_eur_gwh,cost_diesel_eur_gwh,cost_uranium_eur_gwh,eu_ets_price_eur_tco2
1,14.787466848603662,10.240170804288802,6.9236306594779835,0,24.561395022920365,1.1195297491019869,0.4266589800032144,4.26529502457908,0.7819379930298564,0.4488377120006614,3.641559418070499,13.75310505655145,3.107209264134649,66.73664715262,4.858096104950597,54.01849885955866,1.9083533839368276,0.1715632517419331,4.181776201323171,2685.279414779324,7.547779870100665,14670.883428921226,34300.6046990771,58249.87340176964,2657.715810019959,148.5603428905085
2,15.507043187869227,10.753871452615964,7.207588895118029,0,24.746031298070783,1.2766316972166651,0.49477636685669407,4.3109232647222875,0.7302074139282548,0.44030061317876446,3.5131514317342973,13.77558938455083,3.472318711044066,75.8765858273203,5.520163386707827,48.986443880813496,1.6346771584000004,0.15126923149156196,7.25525110000001,4156.598259999998,2.956340171183225,21697.59932963292,45991.76343426633,43300.684618348416,2466.564619055454,144.41282502209316
3,15.247930645864352,10.489479248628276,7.105273602653963,0,24.70623047670321,1.1929029975851169,0.4690320266328174,4.24350838966301,0.7630225526951633,0.39331294444555737,3.454450637980609,13.66829370976459,3.661537250725557,45.23701867917735,4.858096104950597,63.61933671185834,1.7313964827859951,0.16504101548854103,7.25525110000001,4156.598259999998,2.78329596142504,13054.776024210283,27072.63905166894,56752.06939917397,2587.045111459291,145.33449565951892
4,15.415148199600774,10.59381556838221,7.190305403535187,0,24.563063592078176,1.2043718612321042,0.47320478556471446,4.098034163711601,0.7125821397509693,0.4515861051592015,3.907547389766932,13.653194864450954,3.488246398923373,57.23277779950318,5.643581770287474,50.85086266538145,1.634696228316666,0.1607353919634811,6.347814659741061,3722.194733240204,10.108829439311922,22079.775698844467,47050.21028571424,57022.42031879826,1718.2644015016392,137.87053290781088
5,16.225041114376392,11.191751278364151,7.499999330834579,0,24.59613640945456,1.1703507981400425,0.4874795193444426,4.31117397091216,0.7693062526908376,0.40686807220514376,2.9279778940021663,13.6417072977721,3.3426972157779415,48.249043924249015,1.9705395685499985,47.93322307130861,2.0902139648,0.16952405064713771,6.150441996474015,3627.7094588944738,5.552003317556155,13925.835690222171,30652.41725855649,50417.69995518441,2617.7909719424447,131.12992465919402
6,15.591327196342345,10.6016239352096,7.232762742220792,0,24.966163989867304,1.0770439718161906,0.4839138439013989,4.288898005120443,0.7842925265279043,0.4415513422438098,2.836257903762015,13.58856253085276,3.425823188520582,48.30097539399163,1.9705395685499985,54.866926733882,1.841926485658666,0.16701685005544323,7.25525110000001,4156.598259999998,2.2515045,16054.949034194522,30619.18699173412,49396.92272518545,2622.1015362941525,143.27429070527316
7,14.983662151246964,10.26149393297388,6.886845038972569,0,24.743842970404735,1.151319372911032,0.48869770818252034,4.185936466129464,0.8521600559270922,0.4211269657142645,3.843343396598832,13.541220800589368,3.620889138505224,77.59484744072277,3.251382995846832,51.28999400170279,1.634696228316666,0.16468860616077077,6.767864173873527,3923.2787786426593,9.555087932829336,22258.62421895874,38331.24737155887,60454.92725483785,1855.4093887385368,137.13975547612768
8,15.45886075710766,10.42968340440592,7.106997417205514,0,24.449040611361237,1.2370223078345564,0.47513597376944816,4.099384057502106,0.801774612468265,0.4141991368533927,3.698425812019392,13.601595856304712,3.395557931545318,71.59849402511723,6.658693030781781,56.19573667416201,1.767562276607957,0.1592347649807013,7.25525110000001,4156.598259999998,6.151884924238444,17526.25318409234,32684.255638942777,56444.67052994216,1744.6923741054968,125.93466181958637
9,15.380577740784007,10.638558390408638,7.219684675697322,0,24.991069047047443,1.0962446620881237,0.4741963154990791,4.24973522203824,0.7377951645537333,0.4049986511336921,2.6711619213297504,13.698712428457569,3.4883902127911135,63.7322232102902,5.881397800260257,62.69588092574528,1.999520463288767,0.15928691044395368,4.930780154234015,3043.8389174246736,9.878103811610837,13944.55137454654,26891.30149516917,41335.74880869646,4294.799411598534,136.4956361848482
10,14.936534698195134,10.308178991021675,6.94997580774848,0,24.721543767427416,1.1080314346988172,0.4904492431456397,4.14480846454682,0.7782444685152139,0.4523078127308504,3.92038818840055,13.701006711021831,3.706361653446095,34.343949787659234,5.025649182014189,63.22352900646538,2.089472532,0.15339884788101207,6.0897119462380065,3598.63706678809,2.2510000000000048,21960.67596809896,31082.314981174637,66001.21137942241,1637.445357856952,143.493660094757
11,15.236256459313196,10.43801271131808,7.093156200373618,0,25.163919187371693,1.2065382286887278,0.49282333508591936,4.199719745862385,0.6896935894079781,0.4392116716382873,3.824999398550802,13.60935841280513,3.5636991416900585,37.59846365721077,6.569259821245492,42.5663522986635,1.7280145543382253,0.1655146379861004,5.720270807302236,3421.780014807616,9.278217179588056,14865.217604757056,28018.385638717333,42563.24492084448,2926.468979778841,127.86612839463814
12,15.121018841639096,10.376978116854326,7.038510874908378,0,24.981877470686857,1.229688118065781,0.4875951055056082,4.312025819376251,0.7588166942250522,0.4257769811684101,2.631262113,13.570871973960116,3.4548244517477,39.99194023517322,3.322100011273824,61.12773932371616,1.978591661624387,0.1659597942512893,5.872095932892284,3494.460995073553,4.859826478523363,11986.033687720925,23900.567626519256,48738.67242058957,2468.8775007089075,134.952147008518
13,15.970058116151453,10.880365719913463,7.400681979253339,0,24.48173306804136,1.1954382032378716,0.4897898792047718,4.167649471825511,0.7815866432940102,0.4397450642854245,3.746120206944278,13.649671847225926,3.4691346600918083,41.9612255685886,7.5767608536915345,49.24071443220346,1.634696228316666,0.15929277210070647,4.232384576519843,2709.5064082013037,2.737145634262502,12767.33019867168,43618.84688274015,42395.430759812574,1743.2202265010137,135.46167396633695
14,14.62029865521389,10.119732266341254,6.862749565495535,0,24.65723000139882,1.2755547199951651,0.495947724948301,4.308868487934871,0.7475775703174251,0.4024334655130703,3.9460697856677913,13.45731786912673,3.211990959236349,61.082681491080294,2.3670674278367225,50.57395973718628,2.0380419843070627,0.16300044623125595,7.25525110000001,4156.598259999998,6.163421205623492,12082.76511992615,18268.519345238074,56987.586977951185,4262.031688421513,141.1202968137986
15,15.511157747214032,10.68260354558286,7.247357970959228,0,24.569231085247107,1.2274148788655654,0.48886453248891953,4.386472759783032,0.7406008214781661,0.4498629814052932,4.414143258,13.591157189395192,3.6840434264459585,61.80385465773624,5.952537331562096,50.70448555327439,1.634696228316666,0.17890846796430182,3.9335778999999937,2566.4631400000053,4.10996311908391,19500.162745746733,40774.04703478543,44294.009893103605,1771.187780913578,127.77497801826304
16,14.976512656287133,10.379518670982636,6.979652880601758,0,24.694209268742885,1.155852658885066,0.4745643937298391,4.25667285673385,0.7424710330398133,0.4295212560394511,3.272845057305115,13.620871159067525,3.304577357045048,31.294320321533355,7.047122748649319,58.96015467611448,1.634696228316666,0.1820032257173871,7.076575262573264,4071.0634385167536,3.66004814506681,21503.83666146025,39453.49839706676,42329.51467055702,1753.0540328616205,138.38478369306935
17,15.212669589120464,10.490148034764426,7.120291094094611,0,24.591317422991807,1.131277029626786,0.4887549407211691,4.203484736773486,0.749523378423894,0.4525614851870805,3.9772545823494423,13.682401193556393,3.4430837104665915,39.0005930817714,4.671068169451098,40.63344988872877,1.6364897481249998,0.19213805891541472,7.25525110000001,4156.598259999998,5.321272664514555,10681.98871308224,25283.194793483235,40333.35959999441,3107.3172449923054,151.82650927885769
18,15.361784631456318,10.47848199888871,7.052070883837171,0,24.468865309906008,1.1569593198426784,0.49043213798838486,4.40011757076285,0.772187217104407,0.4606612478641284,4.414143258,13.723387071515509,3.600086669503786,42.74369665027506,5.9961874857916815,44.22019911419765,1.9810735377307085,0.16306356607806233,5.2344304054141135,3189.200877956573,2.2524999999999995,17785.682737594743,18508.98514285713,45952.04896521682,3981.783977056562,140.39008724080668
19,14.8366601825093,10.276321772085616,6.931051932585192,0,24.81789254081332,1.2083736376100755,0.4940354936913311,4.261826552906189,0.7398187613431721,0.4102910781967857,4.217560956778619,13.629757976675624,3.497714835414011,39.88341531205034,1.968282282866666,36.34201742229999,1.7035992153001054,0.1623205892804573,4.267810439157517,2726.4653035966903,8.274560699088353,12907.163375402786,38062.24663208135,40477.0696437854,2590.356051213059,125.6017656666667
20,14.506474331539536,9.979383605898764,6.762915219284512,0,24.58733854002521,1.2311462088628018,0.4147806700134351,4.225616386627489,0.7510187547413879,0.43507412102140897,3.5681834258783827,13.564526323963474,3.6681658355150906,45.099445822741274,7.170674345530534,40.70531107504346,1.9372252562226115,0.15031452103678622,5.578567356751534,3353.9444332260564,7.720819192605758,10480.738438191938,33525.14075613857,57805.28132813783,1642.0054077602715,135.24174256944545
21,15.5783062632848,10.615879917152265,7.123693187462062,0,24.723157133374425,1.2224686724507636,0.5104425123240929,4.163615100063563,0.8518433600115993,0.4303726753226909,2.9885130875606545,13.639679915145043,3.4915013135588695,64.53208117115038,6.676347558876565,46.561804685296245,1.6849059532059454,0.15245787782050527,6.570491510606465,3828.793504296923,3.890773772767884,21566.75241430444,32337.658397282335,51049.83428562534,1618.2838167065945,132.0491974285055
22,14.864522551347989,10.258481111679028,6.916468525867887,0,24.585543127247742,1.1831028664702117,0.4186926805203443,4.210560162508583,0.8160279523593907,0.43720348851164614,4.329459344871604,13.707140041695846,3.6603686403577944,78.25651625845835,4.734349468450226,58.53833411826319,2.089472532,0.16406034117308974,7.25525110000001,4156.598259999998,8.95520130080654,10467.809793041471,28726.734381653943,49647.42090865573,1731.746093868958,132.7526395782042
