iteration,month,price,solar_pv,wind,nuclear,conv_hydro,ccgt,cogen,total_gen,ren_gen,non_ren_gen,batt_in,batt_out,ph_in,ph_out,ren_share,lc_share,emissions
1,1,114.81314653398309,7.763477416681765,7.843851692667043,3.6381157718288137,2.63722619047615,11.37966717742493,0.6404307347045624,37.64597234365175,21.64645170602921,15.999520637622547,0.641031776296671,0.6736747890372569,0.2628679698678879,0.2915941520060248,0.5594240900455761,0.6604182569140475,4581.26052640415
1,2,48.77204036490056,8.434230645784785,15.700050070373312,3.641513369595928,1.6495654761904663,2.8139761444980502,0.640435051427446,35.90169818069765,28.565539398331197,7.336158782366446,1.724870122574725,1.4973248321212451,1.525353915522975,1.0683273805932654,0.7766526617239063,0.8841987622834547,1474.3671402745863
1,3,81.60865433713593,5.01300527535917,20.01692766290029,3.1490115336388405,2.1560714285714107,2.4120621116563608,0.6404395953541483,36.11530531763243,29.58409761854046,6.53120769909198,1.2522663066700777,1.0529495131067463,1.0548425389672915,0.609074303996573,0.8090673955471909,0.9005375245540531,1350.2561705434232
1,4,56.24231792471018,12.225398977346046,8.59679983422075,3.6007287960408156,1.482767857142838,2.1276711340285277,0.639294071547032,31.380192927696104,24.74815915032872,6.632033777367373,2.0540073192229844,1.798045984735566,1.8262446071832945,1.4503082380779726,0.7619054977918763,0.8883205103166544,1232.2825349124205
1,5,57.909941006439134,15.061812808459765,7.63421937347997,2.7949066825256508,1.900166666666658,2.500895920676755,0.6390071226052519,33.48365122987135,27.249519730718568,6.234131499152783,2.067511746072317,2.0404696158596867,2.40075434990625,1.8978354832820905,0.7819537578539782,0.8772785401021712,1374.5487125710652
1,6,85.79765970838558,13.752611455832762,9.503871250723286,3.143403487270645,1.6360297619047508,5.79395118469325,0.6391809277849243,37.694639977546046,27.82553191838037,9.869108059165672,1.486105987890342,1.1577863445447452,0.9014846804182288,0.4982190061778135,0.7178051020808145,0.8055690899859813,2558.5814299515355
1,7,111.51899521987583,14.569648032349225,8.959389161188394,3.641513369595928,1.2403035714285549,5.775170039138107,0.6399628238974323,38.86304349079792,28.47608777645782,10.386955714340113,1.4140249583852695,1.272622462342314,1.2219478078234018,0.9164608558245442,0.6977381112599819,0.79770452243896794,2560.8828617748704
1,8,84.06881923033355,13.48173646681166,9.860151024515927,3.641513369595928,1.190988095238088,2.339303913161627,0.6399753196894057,33.3709296720937,26.439669787925805,6.931259884167908,2.136126663939459,2.0419598585683776,2.1282971375215127,1.696250485138368,0.7683687520141053,0.8873250065976912,1319.413473363098
1,9,98.68673345583258,9.98689739673314,11.55824226801524,3.633584626294651,1.8788750000000125,4.152176960147457,0.6399889514743959,34.04282854913794,25.30184754886453,8.740981000273413,1.75989153006722,1.644165560991554,1.3276487086269608,1.0699495742882028,0.7198836967827853,0.834236777397337,1973.1499814002989
1,10,61.77889653551771,10.872958889976136,10.582908799998236,0.6980152338813251,0.9481726190475864,5.0534732209849045,0.6399948585760512,31.03474443492782,24.33971492547851,6.6950295094492995,1.7345769533979516,1.561119257969826,2.3947603967365065,1.827771072427816,0.7408132918762069,0.7656372351000122,2294.932148520648
1,11,37.01757519450001,5.110398271752633,20.89420154679123,0.7766714799657694,1.3421845238094914,1.5153463163539562,0.6394082376915937,32.27428450995211,29.121312671500792,3.1529718384513203,2.388467579827907,2.015204641780558,1.237848611013688,0.8940910945388891,0.8947285333792783,0.9203734087456992,1002.0589285584612
1,12,80.3650090763717,4.23243505402316,16.488116213851622,0.9103783423989816,2.8781309523809107,4.8670991841527265,0.6394133496131034,33.082498368679474,26.38432456069062,6.69817380798886,0.9152201751891856,0.9689442049661378,0.762054699541715,0.5744510968395015,0.7889443438483787,0.8175916597876922,2222.43200510682
2,1,123.20510213588236,8.954872687000112,9.9661214474962,3.513107007012409,2.24985714285716,11.471145822836586,0.6472817795154694,40.57050428064525,24.612497881238216,15.958006399407044,0.5796716946549432,0.5501840400305544,0.6487471573694661,0.6177003441311525,0.5852716890215893,0.6755949274255577,4608.033554741154
