year,Combined cycle,Cogeneration,Nuclear,Conventional hydro,Pumped hydro,Solar PV,Wind,Batteries,Other non renewable,Other renewable,Total
2020,0.1987204293248514,0.002745525010166774,0.24966062326055974,0.10553794968617268,0,0.07081875807412026,0.24344980100201324,0,0.04237751124306564,0.08668940239905032,1
2021,0.19367891917062333,0.002522000385278033,0.23270634679234367,0.10367824463917656,0,0.09061192845605585,0.25944507355566,0,0.03941402639572427,0.07794346060513827,1
2022,0.26722486545592894,0.0016737868224947394,0.21889974788677363,0.05871841424296097,0.0017642688663712916,0.10759819706598404,0.2352998966613033,0,0.04942607951530929,0.06115901234924503,1
2023,0.19275174799307981,0.0017247355875604374,0.2248506897594421,0.07026028060421487,0.02854706480057353,0.15102737871170507,0.2583216319208409,0,0.036169558679180654,0.06489397674397612,1
2024,0.14868446266569987,0.0016288102158612961,0.21754451926967983,0.0959263734367914,0.03349673495395939,0.1836913137247874,0.2514016047750678,0,0.0314188446061642,0.0697040713059482,1
