year,mean_spot_price_eur_mwh,mean_residential_demand_gwh,mean_commercial_demand_gwh,mean_industrial_demand_gwh,mean_coal_cap_gw,mean_combined_cycle_cap_gw,mean_gas_turbine_cap_gw,mean_vapor_turbine_cap_gw,mean_cogeneration_cap_gw,mean_diesel_cap_gw,mean_nonrenewable_waste_cap_gw,mean_nuclear_cap_gw,mean_conventional_hydro_cap_gw,mean_run_of_river_hydro_cap_gw,mean_pumped_hydro_turb_cap_gw,mean_pumped_hydro_pump_cap_gw,mean_solar_pv_cap_gw,mean_solar_thermal_cap_gw,mean_wind_cap_gw,mean_other_renewable_cap_gw,mean_renewable_waste_cap_gw,mean_batteries_cap_gw,mean_coal_gen_gwh,mean_combined_cycle_gen_gwh,mean_gas_turbine_gen_gwh,mean_vapor_turbine_gen_gwh,mean_cogeneration_gen_gwh,mean_diesel_gen_gwh,mean_nonrenewable_waste_gen_gwh,mean_nuclear_gen_gwh,mean_conventional_hydro_gen_gwh,mean_run_of_river_hydro_gen_gwh,mean_pumped_hydro_gen_gwh,mean_pumped_hydro_consumption_gwh,mean_solar_pv_gen_gwh,mean_solar_thermal_gen_gwh,mean_wind_gen_gwh,mean_other_renewable_gen_gwh,mean_renewable_waste_gen_gwh,mean_batteries_gen_gwh,mean_nuclear_cap_factor,mean_solar_pv_cap_factor,mean_solar_thermal_cap_factor,mean_wind_cap_factor,mean_imports_France_gwh,mean_exports_France_gwh,mean_net_flows_France_gwh,mean_imports_Portugal_gwh,mean_exports_Portugal_gwh,mean_net_flows_Portugal_gwh,mean_imports_Morocco_gwh,mean_exports_Morocco_gwh,mean_net_flows_Morocco_gwh,mean_cost_coal_eur_gwh,mean_cost_gas_eur_gwh,mean_cost_diesel_eur_gwh,mean_cost_uranium_eur_gwh,mean_eu_ets_price_eur_tco2,mean_total_demand_gwh,mean_renewable_generation_gwh,mean_nonrenewable_generation_gwh,mean_total_generation_gwh,mean_total_imports_gwh,mean_total_exports_gwh,total_total_demand_gwh,total_residential_demand_gwh,total_commercial_demand_gwh,total_industrial_demand_gwh,total_total_generation_gwh,total_total_imports_gwh,total_total_exports_gwh,total_renewable_generation_gwh,total_nonrenewable_generation_gwh,total_imports_France_gwh,total_imports_Portugal_gwh,total_imports_Morocco_gwh,total_exports_France_gwh,total_exports_Portugal_gwh,total_exports_Morocco_gwh,total_pumped_hydro_consumption_gwh,share_renewable_generation_gwh,share_nonrenewable_generation_gwh,share_coal_gen_gwh,share_combined_cycle_gen_gwh,share_gas_turbine_gen_gwh,share_vapor_turbine_gen_gwh,share_cogeneration_gen_gwh,share_diesel_gen_gwh,share_nonrenewable_waste_gen_gwh,share_nuclear_gen_gwh,share_conventional_hydro_gen_gwh,share_run_of_river_hydro_gen_gwh,share_pumped_hydro_gen_gwh,share_pumped_hydro_consumption_gwh,share_solar_pv_gen_gwh,share_solar_thermal_gen_gwh,share_wind_gen_gwh,share_other_renewable_gen_gwh,share_renewable_waste_gen_gwh,share_imports_France_gwh,share_imports_Portugal_gwh,share_imports_Morocco_gwh
2020,33.98621470856102,13.386043677915787,9.077963356768429,6.134718659760231,8.138659672131148,26.250145,1.1486500000000002,0.48264,5.693048978142077,0.76867,0.43876633333333337,7.11729,13.655,3.453,3.331,2278,10.800243270491803,2.302223,26.755729101092896,1.098566,0.157322,0.01,0.6113488539769276,5.057837887067395,0.04709010701275048,0.16256352459016396,0.06987917882168147,0.2344325573011536,0.023158550404872493,6.354369118093503,2.6861548269581057,1.1503069216757742,0,0.5517243852459016,1.8024809976472373,0.5188690137370978,6.196291097449909,0.5247390330904675,0.012506109343613387,0,0.7450178980752997,0.16775613132676012,0.22537739121583697,0.23127604339664612,1.2388559722222223,0.6517152504553734,0.5871407217668488,0.5383610963114754,0.7085861008652095,-0.17022500455373407,0.03395551343351548,0.06755153574681239,-0.033596022313296905,5409.43887902674,10297.24043715847,27107.083661186454,1691.9996027936843,25.667131147540985,28.598725694444447,12.891347999902205,12.560679777268449,25.452027777170652,1.811172581967213,1.4278528870673952,251211.2065,117583.00766681228,79740.83012585387,53887.368707333866,223570.611994667,15909.33996,12542.25976,113237.60083114097,110333.01116352605,10882.11086,4728.96387,298.26523,5724.66676,6224.22031,593.37269,4846.347,0.5064959111613565,0.49350408883864355,0.024019652160103357,0.1987204293248514,0.0018501514859648326,0.006387055916070321,0.002745525010166774,0.009210761490344957,9.098901905821702e-4,0.24966062326055974,0.10553794968617268,0.045195099256788836,0,0.021677030611320255,0.07081875807412026,0.02038615619469426,0.24344980100201324,0.020616786909258968,4.913600383082568e-4,0.048674156066002,0.02115199232944267,0.001334098553199446
2021,112.02053082191782,13.743671175832398,9.369326231813895,6.33412730696558,4.696605438356165,26.250145,1.1486500000000002,0.48264,5.652693520547945,0.76867,0.445103,7.11729,13.655,3.453,3.331,2278,14.363629271232877,2.3022328958904112,28.19365579452055,1.1020712986301369,0.170112,0.01,0.593839450152207,5.149706088280061,0.04912437214611869,0.13108007990867573,0.06705717273891552,0.24979469178082192,0.024136335668219176,6.187401788432268,2.756688698630137,0.9731847031963471,0,0.523092808219178,2.409269948630137,0.5378154394977169,6.898354661339422,0.5478272735920852,0.013602125032659815,0,0.7424241867489656,0.16847660680797463,0.2336059966052671,0.24480427949712286,1.3126886255707761,0.677370894977169,0.6353177305936073,0.3771724885844749,0.9224981803652968,-0.5453256917808219,0.06771055251141553,0.04689201712328767,0.020818535388127852,12494.451029238253,47488.08219178082,43032.729579350416,1824.87353083314,55.44931506849315,29.447124714611874,14.136742849918505,12.452139979107287,26.588882829025792,1.7575716666666668,1.6467610924657534,257956.8125,120394.55950029181,82075.29779068973,55486.95520901847,232918.61358226594,15396.3278,14425.62717,123837.8673652861,109080.74621697984,11499.15236,3304.031,593.14444,5933.76904,8081.08406,410.77407,4582.293,0.5316787072560307,0.46832129274396933,0.02233412565585273,0.19367891917062333,0.0018475530717857766,0.004929882942113761,0.002522000385278033,0.009394704297546987,9.077604284250225e-4,0.23270634679234367,0.10367824463917656,0.03660118815274061,0,0.01967336542805563,0.09061192845605585,0.02022707922540506,0.25944507355566,0.0206036213373376,5.11571889654989e-4,0.0493698300154897,0.014185345469751516,0.0025465738048045857
2022,167.87440410958905,13.368948032322184,9.136098495581017,6.167889193177469,3.613013109589041,26.250145,1.1486500000000002,0.48264,5.632068189041096,0.76867,0.43205423287671235,7.11729,13.655,3.453,3.331,2278,19.407460526027396,2.302301397260274,29.63046083561644,1.1040653479452054,0.170112,0.015,0.9148171708523591,7.827970547945205,0.07615284436834092,0.14208673896499238,0.049031192990490864,0.2958810977929984,0.018928513623607306,6.412355289193303,1.7200720319634704,0.7712066438356164,0.051681735159817346,0.709974406392694,3.151935416666667,0.46384091514459663,6.89277421042618,0.5439630612633181,0.012555245434726026,0,0.7525661173522314,0.16394002842144742,0.20146874673834622,0.23267294595308624,0.3330182579908676,0.6716553911719864,-0.3386371331811187,0.10563341828385844,0.7180691372716895,-0.6124357189878311,0.03504186976787671,0.07584980974123287,-0.04080793997335616,33971.72363341403,99674.60273972603,83306.3226238443,2544.974630763629,81.33553424657535,28.67293572108067,13.556347524734575,15.737223395731297,29.29357092046587,0.4736935460426027,1.4655743381849087,251174.91691666667,117111.98476314233,80032.2228212897,54030.709332234634,256611.68126328103,4149.5554633332,12838.4312024998,118753.60431667487,137858.07694660616,2917.23994,925.3487441666,306.9667791666,5883.7012266666,6290.2856425,664.4443333332,6219.3758,0.46277552031949337,0.5372244796805066,0.03122928144664073,0.26722486545592894,0.0025996436069573533,0.004850441052433245,0.0016737868224947394,0.010100547270127519,6.461661391504493e-4,0.21889974788677363,0.05871841424296097,0.026326822562175754,0.0017642688663712916,0.024236526448766695,0.10759819706598404,0.015834222341958845,0.2352998966613033,0.018569366730338766,4.286007147716613e-4,0.01136830531501386,0.0036060273624769303,0.0011962307314126327
2023,88.2777111872146,13.038727108799902,8.8845391536073,6.009141148171185,3.3451899589041094,26.250145,1.1486500000000002,0.48264,5.626270517808219,0.76867,0.42566350136986303,7.11729,13.655,3.453,3.331,2278,26.73537563561644,2.302624276712329,30.543252542465755,1.111396493150685,0.17011250136986303,0.025,0.46033884132420094,5.322953681506849,0.08731226217656007,0.14296891171993914,0.04762959475605023,0.2946874809741248,0.013536288800239724,6.2093849695586,1.9402792617960427,0.8270863774733638,0.788344101978691,0.9508922374429224,4.170710511796043,0.5300169520547945,7.133704861111111,0.4224654299847793,0.01251684289295662,0,0.7507643735557832,0.15730931215334296,0.230179419743197,0.23358484998486728,0.1888557294520548,0.23728616780821918,-0.048430438356164375,0.05654085873287671,0.34917260901826486,-0.2926317502853881,0.011844957762557078,0.06488687385844749,-0.05304191609589041,14520.180710178121,39371.643835616436,64122.47309706406,2972.863085300057,84.76854794520548,27.93240741057839,15.03678023710909,12.578812030816565,27.615592267925656,0.2572415459474886,0.6513456506849316,244687.88891666668,114219.24947308714,77828.56298559994,52640.07645797958,241912.58826702874,2253.4359425,5705.7879,131722.19487707564,110190.3933899531,1654.37619,495.2979225,103.76183,2078.62683,3058.752055,568.409015,8329.816,0.544503267980737,0.455496732019263,0.016669526290003386,0.19275174799307981,0.003161701597034715,0.005177108292042373,0.0017247355875604374,0.01067105416806113,4.901683320390544e-4,0.2248506897594421,0.07026028060421487,0.029949977876592194,0.02854706480057353,0.034433164721487566,0.15102737871170507,0.01919267010146246,0.2583216319208409,0.015298076024806286,4.532527411151853e-4,0.006838735436842423,0.0020474251714147204,4.289228218478043e-4
2024,63.46079576502732,13.161051811564667,8.958526207315243,6.076696846405458,2.0611749999999995,26.250145,1.1486500000000002,0.48264,5.599286573770492,0.76867,0.4257575300546448,7.11729,13.655,3.453,3.331,2278,35.26799840437158,2.3029304863387976,31.518820620218577,1.1155602950819672,0.17011500000000002,0.025,0.3465772806618093,4.071038165983607,0.0773002523527626,0.13379563221007895,0.044597454468556466,0.28915867865816636,0.013428288410815116,5.956453181921676,2.626501252276867,1.003513319672131,0.9171535746812386,1.014575819672131,5.029539304417122,0.4629755711141469,6.883473294247116,0.43058160670916823,0.011453967827994078,0,0.731044420400659,0.14330106080442923,0.20103762769393888,0.21860015153382384,0.26073437879477457,0.17693009790528233,0.08380428088949225,0.07284325535063753,0.37137615048193306,-0.29853289513129555,0.008934929701730418,0.0812621618852459,-0.07232723218351549,12742.670189812734,34914.31693989071,55546.4410404578,4016.247251001291,67.18081967213115,28.196274865285368,16.448038316264544,10.932348934667472,27.380387250932017,0.3425125638471425,0.6295684102724612,247676.07841666669,115606.67911278403,78691.6942050571,53377.70509882554,240509.32161218685,3008.6303608333,5530.1289158333,144479.56857006776,96029.75304211906,2290.2907833333,639.855155,78.4844225,1554.15398,3262.1681058333,713.80683,8912.034,0.6007233632425947,0.39927663675740516,0.01265786628529193,0.14868446266569987,0.002823197920625879,0.004886550032469851,0.0016288102158612961,0.010560795799128938,4.90434568647601e-4,0.21754451926967983,0.0959263734367914,0.03665080813047931,0.03349673495395939,0.037054838208601136,0.1836913137247874,0.01690902202628224,0.2514016047750678,0.01572591369008163,4.1832745910502745e-4,0.00952266950811294,0.002660417279093011,3.263259069291022e-4
