year,month,mean_spot_price_eur_mwh,mean_residential_demand_gwh,mean_commercial_demand_gwh,mean_industrial_demand_gwh,mean_coal_cap_gw,mean_combined_cycle_cap_gw,mean_gas_turbine_cap_gw,mean_vapor_turbine_cap_gw,mean_cogeneration_cap_gw,mean_diesel_cap_gw,mean_nonrenewable_waste_cap_gw,mean_nuclear_cap_gw,mean_conventional_hydro_cap_gw,mean_run_of_river_hydro_cap_gw,mean_pumped_hydro_turb_cap_gw,mean_pumped_hydro_pump_cap_gw,mean_solar_pv_cap_gw,mean_solar_thermal_cap_gw,mean_wind_cap_gw,mean_other_renewable_cap_gw,mean_renewable_waste_cap_gw,mean_batteries_cap_gw,mean_coal_gen_gwh,mean_combined_cycle_gen_gwh,mean_gas_turbine_gen_gwh,mean_vapor_turbine_gen_gwh,mean_cogeneration_gen_gwh,mean_diesel_gen_gwh,mean_nonrenewable_waste_gen_gwh,mean_nuclear_gen_gwh,mean_conventional_hydro_gen_gwh,mean_run_of_river_hydro_gen_gwh,mean_pumped_hydro_gen_gwh,mean_pumped_hydro_consumption_gwh,mean_solar_pv_gen_gwh,mean_solar_thermal_gen_gwh,mean_wind_gen_gwh,mean_other_renewable_gen_gwh,mean_renewable_waste_gen_gwh,mean_batteries_gen_gwh,mean_nuclear_cap_factor,mean_solar_pv_cap_factor,mean_solar_thermal_cap_factor,mean_wind_cap_factor,mean_imports_France_gwh,mean_exports_France_gwh,mean_net_flows_France_gwh,mean_imports_Portugal_gwh,mean_exports_Portugal_gwh,mean_net_flows_Portugal_gwh,mean_imports_Morocco_gwh,mean_exports_Morocco_gwh,mean_net_flows_Morocco_gwh,mean_cost_coal_eur_gwh,mean_cost_gas_eur_gwh,mean_cost_diesel_eur_gwh,mean_cost_uranium_eur_gwh,mean_eu_ets_price_eur_tco2,mean_total_demand_gwh,mean_renewable_generation_gwh,mean_nonrenewable_generation_gwh,mean_total_generation_gwh,mean_total_imports_gwh,mean_total_exports_gwh,total_total_demand_gwh,total_residential_demand_gwh,total_commercial_demand_gwh,total_industrial_demand_gwh,total_total_generation_gwh,total_total_imports_gwh,total_total_exports_gwh,total_renewable_generation_gwh,total_nonrenewable_generation_gwh,total_imports_France_gwh,total_imports_Portugal_gwh,total_imports_Morocco_gwh,total_exports_France_gwh,total_exports_Portugal_gwh,total_exports_Morocco_gwh,share_renewable_generation_gwh,share_nonrenewable_generation_gwh,share_coal_gen_gwh,share_combined_cycle_gen_gwh,share_gas_turbine_gen_gwh,share_vapor_turbine_gen_gwh,share_cogeneration_gen_gwh,share_diesel_gen_gwh,share_nonrenewable_waste_gen_gwh,share_nuclear_gen_gwh,share_conventional_hydro_gen_gwh,share_run_of_river_hydro_gen_gwh,share_pumped_hydro_gen_gwh,share_solar_pv_gen_gwh,share_solar_thermal_gen_gwh,share_wind_gen_gwh,share_other_renewable_gen_gwh,share_renewable_waste_gen_gwh,share_imports_France_gwh,share_imports_Portugal_gwh,share_imports_Morocco_gwh
2020,1,40.90326612903226,16.59853554037088,9.239666152205865,6.391762241115015,9.456245,26.250145,1.1486500000000002,0.48264,5.701371,0.76867,0.441993,7.11729,13.655,3.453,3.331,2278,8.954784,2.302223,25.720657,1.09854,0.157322,0.01,1.215777889784946,5.241637544802868,0.0530827732974912,0.201016353046595,0.0740640151030914,0.2763993055555556,0.021571953324999997,7.099059251792115,4.029505376344086,1.347040322580645,0,0.5348817204301075,0.9012784498207885,0.11675425627240162,6.267283042114696,0.4645725806451614,0.013250904950537634,0,0.9993588119206361,0.10064770404521076,0.05071370422083421,0.24366729987164384,1.6546946505376343,0.3562669892473118,1.2984276612903225,1.0644224596774194,0.4043354435483871,0.6600870161290323,0.0730430376344086,0.02520625,0.0478367876344086,5692.621180491408,12049.032258064517,41419.38631386146,1691.9996027936843,24.31,32.22996393369176,13.139684932728315,14.18260908670766,27.322294019435976,2.7921601478494624,0.7858086827956989,23979.09316666667,12349.310442035934,6874.311617241164,4755.471107389571,20327.786750460367,2077.36715,584.64166,9775.925589949868,10551.8611605105,1231.09282,791.93031,54.34402,265.06264,300.82557,18.75345,0.48091441089760895,0.5190855891023911,0.04449765048718422,0.1918447089792013,0.0019428373495918845,0.007357228236530946,0.0027107539012062912,0.01011625544176255,7.895366805457324e-4,0.25982661802636814,0.14748049243147954,0.04930187493123436,0,0.03298692449395558,0.004273223038641899,0.2293834857957536,0.017003425126553545,4.849850799904091e-4,0.06056206881312936,0.038958019371295546,0.0026733859749276077
2020,2,36.02508620689655,14.538566578410961,9.266986888306954,6.5099652114430056,9.456245,26.250145,1.1486500000000002,0.48264,5.696715,0.76867,0.441993,7.11729,13.655,3.453,3.331,2278,9.839551,2.302223,26.093407,1.09854,0.157322,0.01,1.2477846024904213,4.2118991858237544,0.057615900383141884,0.1894178639846744,0.07274626874525862,0.2656847461685823,0.023791069700143677,7.004455579501916,3.175633620689655,1.2964008620689655,0,0.5615431034482758,1.4325022749042144,0.3335836925287357,6.09784686302682,0.5108031609195403,0.013982999198132182,0,0.9984732743185557,0.14558614258965827,0.14489634259093742,0.2336930115345543,1.7932375431034482,0.09857540229885058,1.6946621408045976,0.5021527586206896,0.7148140086206897,-0.21266125,0.057051795977011495,0.019692830459770116,0.03735896551724138,5503.860157063281,9845.51724137931,36838.247824296355,1691.9996027936843,24.02,30.31551867816092,12.860753473336063,13.073395216797893,25.934148690133956,2.3524420977011493,0.8330822413793103,21099.601000000002,10118.84233857403,6449.82287426164,4530.935787164332,18050.167488333234,1637.2997,579.82524,8951.0844174419,9099.083070891333,1248.09333,349.49832,39.70805,68.60848,497.51055,13.70621,0.49590035235005175,0.5040996476499481,0.04811357478509067,0.1624074588353877,0.0022216229679079655,0.007303801109798296,0.0028050378523870054,0.01024459099633588,9.173645907719513e-4,0.2700861965122687,0.12244988870206297,0.04998817881236838,0,0.05523614027281245,0.01286271998030303,0.23512809060690715,0.019696160727028737,5.391732485690456e-4,0.06914580326230811,0.01936260814343684,0.002199871553860394
2020,3,27.852379032258064,13.218646993977803,8.762064394797752,6.234542195453836,9.456245,26.250145,1.1486500000000002,0.48264,5.695767,0.76867,0.441993,7.11729,13.655,3.453,3.331,2278,9.928351,2.302223,26.111607,1.09854,0.157322,0.01,0.6910246415770607,2.6224848790322577,0.042758848566308225,0.15796046146953405,0.06813907224610215,0.2073121639784946,0.022584647714919352,6.951558467741935,3.0916962365591396,1.5505806451612902,0,0.8401801075268818,1.4588974014336915,0.3202588485663084,7.46217663530466,0.4888760080645161,0.011951054144220428,0,0.998890752138851,0.1469425689556797,0.1391085262228326,0.28578006077162005,1.432517553763441,0.39334067204301076,1.03917688172043,0.4111059005376344,0.729296935483871,-0.3181910349462366,0.022621922043010754,0.08585010752688171,-0.06322818548387096,5267.213230115268,8631.612903225807,26220.098485491555,1691.9996027936843,18.42,28.21525358422939,14.384436829233826,10.763823182326613,25.14826001156044,1.866245376344086,1.2084877150537634,20992.148666666668,9834.673363519485,6518.975909729528,4638.499393417654,18710.305448600968,1388.48656,899.11486,10702.021000949966,8008.284447651,1065.79306,305.86279,16.83071,292.64546,542.59692,63.87248,0.5719853708614998,0.4280146291385,0.027478029941610374,0.10428096726480178,0.0017002706567632252,0.006281168613531154,0.0027094945023941695,0.008243598717493576,8.980600528441087e-4,0.27642303938906165,0.12293877330431265,0.06165757171464355,0,0.05801186248126307,0.012734831293261964,0.29672735337849854,0.01943975479177422,4.7522389774587307e-4,0.05696288940487035,0.01634729004506286,8.995422360279259e-4
2020,4,17.725791666666666,10.8269634745016,7.474397055929905,5.5443869232721985,9.456245,26.250145,1.1486500000000002,0.48264,5.695767,0.76867,0.441993,7.11729,13.655,3.453,3.331,2278,10.148658,2.302223,26.305062,1.09854,0.157322,0.01,0.46692048611111087,3.052199537037037,0.02270590277777779,0.1424762731481482,0.06365044246700087,0.19706631944444433,0.018767571134305553,5.67452650462963,2.8837458333333332,1.5332791666666667,0,0.9694416666666666,1.681617361111111,0.28933391203703707,5.112439814814815,0.478087847222222,0.008280774097222221,0,0.8940637088617219,0.16569849541792728,0.12567588458504542,0.19435193936493347,1.443518986111111,0.362543,1.080975986111111,0.2102945972222222,0.9229261805555555,-0.7126315833333333,0.012263180555555555,0.06572756944444444,-0.05346438888888889,5104.49467193743,7647.666666666667,19998.134223169745,1691.9996027936843,20.39,23.845747453703705,11.986784709282407,9.638313036749453,21.625097746031862,1.666076763888889,1.35119675,17168.938166666667,7795.413701641152,5381.565880269532,3991.9585847559833,15570.07037714294,1199.57527,972.86166,8630.484990683333,6939.5853864596065,1039.33367,151.41211,8.82949,261.03096,664.50685,47.32385,0.5542996776272119,0.4457003223727881,0.021591601184636926,0.1411415371566173,0.0010499791975249802,0.006588468400069644,0.0029433597579312924,0.009112852194187442,8.678606383524599e-4,0.26240466384346806,0.1333518057213171,0.07090276236776866,0,0.07776230104761873,0.013379542392594684,0.23641233324612057,0.022108008612814232,0.00038292423897791247,0.06675202133483962,0.009724561696411784,5.670809306656572e-4
2020,5,21.442594086021504,10.611194485964974,8.303035796146595,5.854356747458322,9.456245,26.250145,1.1486500000000002,0.48264,5.695767,0.76867,0.441993,7.11729,13.655,3.453,3.331,2278,10.312107,2.302223,26.433207000000003,1.09854,0.157322,0.01,0.3729332437275984,3.325818100358423,0.026338373655914005,0.15996382168458775,0.0654000394821875,0.20446505376344096,0.018801397804838707,4.141385864695341,2.671685483870968,1.5024032258064517,0,0.5493736559139785,2.3418360215053764,0.7461049507168458,5.249445564516129,0.539885976702509,0.008292061021505375,0,0.6543408897161338,0.22709578377196593,0.32408022624951877,0.19859283682513926,1.926463185483871,0.17534708333333332,1.7511161021505377,0.2125759811827957,1.020500752688172,-0.8079247715053763,0.013559717741935484,0.03768184139784946,-0.024122123655913978,4413.792628192201,5374.5161290322585,20616.729026380846,1691.9996027936843,22.18,24.768587029569893,13.059653284139785,8.31510589517233,21.374759179312115,2.152598884408602,1.233529677419355,18427.82875,7894.728697557941,6177.458632333067,4355.641420108992,15902.820829408214,1601.53357,917.74608,9716.382043399999,6186.438786008214,1433.28861,158.15653,10.088429999999999,130.45823,759.25256,28.03529,0.6109848150607361,0.3890151849392639,0.017447365867333257,0.15559558226870535,0.0012322184982278537,0.00748377187984467,0.003059685441765628,0.009565724322234027,8.796074681878018e-4,0.1937512291929653,0.12499254197244004,0.07028866211791407,0,0.10956081431654013,0.03490588803634217,0.24559086352640103,0.02525810804105086,3.8793705004784205e-4,0.09012794807758244,0.009945187190157473,6.343799070756063e-4
2020,6,30.65648611111111,11.792665403835695,9.204668342939033,6.060135003225271,9.456245,26.250145,1.1486500000000002,0.48264,5.694777,0.76867,0.441993,7.11729,13.655,3.453,3.331,2278,10.611139,2.302223,26.528028,1.09854,0.157322,0.01,0.5514304398148147,5.593872453703703,0.036127662037037066,0.11966932870370378,0.0669738856896875,0.20166423611111098,0.018650849560138887,5.058254166666667,2.132597222222222,1.200236111111111,0,0.3735347222222222,2.5819915509259257,0.9917055555555556,4.663108101851852,0.5416846064814815,0.007642828854166665,0,0.7424566911469581,0.24332840715081822,0.4307599896081117,0.17578042747285444,1.4376413472222223,0.34961763888888886,1.0880237083333333,0.2325311111111111,0.9292056388888889,-0.6966745277777778,0.02076597222222222,0.04973386111111111,-0.02896788888888889,4977.93019425664,6386.666666666667,25061.56281619041,1691.9996027936843,27.68,27.05746875,12.118965977002315,11.646643022286863,23.765608999289178,1.6909384305555555,1.3285571388888888,19481.3775,8490.7190907617,6627.361206916104,4363.2972023221955,17111.23847948821,1217.47567,956.56114,8725.655503441667,8385.582976046542,1035.10177,167.4224,14.9515,251.72469999999998,669.02806,35.80838,0.5099371102741271,0.4900628897258728,0.023202874364856702,0.2353767771686816,0.001520165632537236,0.005035399206781659,0.0028181009664717898,0.008485548849900824,7.8478315286163e-4,0.21283924038378135,0.08973459179127316,0.05050306563349627,0,0.10864403058230707,0.04172859847964414,0.1962124388224734,0.022792793001756576,3.2159196317650685e-4,0.06049251030197549,0.009784353143151773,8.737824569462252e-4
2020,7,34.619193548387095,14.688305315899083,10.452640936697419,6.2058020672959735,8.400475,26.250145,1.1486500000000002,0.48264,5.694777,0.76867,0.441993,7.11729,13.655,3.453,3.331,2278,10.650275,2.302223,26.728933,1.09854,0.157322,0.01,0.4381084229390681,8.557293234767025,0.06481328405017907,0.1602727374551971,0.0685477318971875,0.24009106182795698,0.01833392941706989,6.951484543010753,1.7964099462365593,0.8845658602150538,0,0.46744892473118277,2.6507041890681,1.0687349910394266,5.628913866487455,0.4789758064516128,0.008415407560349461,0,0.99827954556885,0.2488859854856424,0.4642187099335845,0.21059253904701153,1.0354298252688172,0.5903920295698925,0.4450377956989247,0.1531388172043011,1.1604313037634408,-1.0072924865591397,0.011724139784946236,0.056230470430107524,-0.04450633064516129,5335.116262727616,6314.5161290322585,26650.45794076978,1691.9996027936843,27.22,31.346748319892477,12.516720067058557,16.498944945364435,29.015665012422993,1.2002927822580645,1.807053803763441,23321.980750000002,10928.099155028918,7776.76485690288,4617.1167380682045,21587.65476924271,893.01783,1344.44803,9312.439729891566,12275.21503935114,770.35979,113.93528,8.72276,439.25167,863.36089,41.83547,0.43137801810503223,0.5686219818949677,0.015099030911457412,0.29491976941087644,0.002233734226750598,0.005523662386734085,0.0023624387677428364,0.00827453245428504,6.31863147345417e-4,0.23957695058977588,0.06191172752605981,0.030485803438808957,0,0.09135424564397221,0.036833034520554676,0.1939956869531492,0.016507490221111264,2.900298013761333e-4,0.035685200557199016,0.005277797945996931,4.040624186944042e-4
2020,8,36.128696236559136,14.432505907222064,9.49598411366318,5.871884195064578,8.400475,26.250145,1.1486500000000002,0.48264,5.694777,0.76867,0.441993,7.11729,13.655,3.453,3.331,2278,11.165979000000002,2.302223,27.008768,1.09854,0.157322,0.01,0.48183725358422946,7.485988015232975,0.07427296146953401,0.17611133512544808,0.07014737886218751,0.2807814740143369,0.02695820762217742,6.943453405017921,2.03634811827957,0.7300322580645161,0,0.41364650537634406,2.5423541666666667,1.0052236783154123,4.870897737455197,0.5108840725806452,0.014972079884005375,0,0.9980732480075742,0.22768752893648345,0.4366317590934555,0.18034505451915456,0.916658682795699,0.8462796370967742,0.07037904569892474,0.4927611962365591,0.755536438172043,-0.26277524193548385,0.03540143817204301,0.14332572580645161,-0.1079242876344086,5167.951394721304,9324.193548387097,25656.213770386545,1691.9996027936843,29.53,29.800374215949823,11.710712111246012,15.53955003092881,27.250262142174822,1.4448213172043012,1.7451418010752688,22171.47841666667,10737.784394973214,7065.012180565406,4368.6818411280465,20274.19503377807,1074.94706,1298.3855,8712.769810767033,11561.425223011034,681.99406,366.61433,26.33867,629.63205,562.11911,106.63434,0.4297467690456276,0.5702532309543723,0.01768193095062,0.2747125138164092,0.0027255870450722326,0.006462739118126985,0.0025741909746116332,0.01030380818171197,9.892825060370558e-4,0.25480317836178323,0.07472765244074273,0.02678991689164913,0,0.09329650310893352,0.036888587459114476,0.17874682129815483,0.018747859008297667,5.494288387352175e-4,0.033638527145652665,0.018082805723689536,0.0012991228483359334
2020,9,41.919180555555556,12.504030299223405,9.765964617604302,6.38906063872785,6.838135,26.250145,1.1486500000000002,0.48264,5.690114,0.76867,0.432313,7.11729,13.655,3.453,3.331,2278,11.576967,2.302223,27.224408,1.0978679999999998,0.157322,0.01,0.5169421296296298,6.9725726851851855,0.051960995370370376,0.14130046296296297,0.07172051602293317,0.25281701388888894,0.028942405666527775,6.787474421296296,1.9997597222222223,0.6335861111111111,0,0.3081347222222222,2.091846990740741,0.6290998842592593,5.541759490740741,0.5600590277777778,0.015119666632083332,0,0.9726381986683134,0.18069041664718752,0.27325757941748446,0.2035584939345877,0.38659319444444445,1.4283168888888889,-1.0417236944444443,0.6966511388888889,0.47823780555555556,0.21841333333333335,0.033796152777777776,0.04124955555555555,-0.0074534027777777775,5458.5976761150605,11363,23574.036067979727,1691.9996027936843,27.5,28.659055555555558,11.471230893483936,14.823730630022794,26.29496152350673,1.1170404861111112,1.94780425,20634.52,9002.901815440851,7031.494524675097,4600.123659884051,18932.372296924845,804.26915,1402.41906,8259.286243308434,10673.086053616413,278.3471,501.58882,24.33323,1028.38816,344.33122,29.69968,0.436252050919682,0.5637479490803181,0.019659360564855836,0.2651676321698346,0.0019760818179528103,0.005373670649285627,0.0027275383521218567,0.009614656163800804,0.0011006825638689118,0.25812832679859765,0.07605106097738575,0.02409534277297605,0,0.07955314895101505,0.023924731119947338,0.21075366418720984,0.02129910048649836,5.750024246495629e-4,0.014702177605350149,0.026493712046929917,0.0012852710488876456
2020,10,36.426975806451615,12.150880169103013,9.271251621371277,6.4685588457264265,6.219075,26.250145,1.1486500000000002,0.48264,5.689914,0.76867,0.432313,7.11729,13.655,3.453,3.331,2278,11.886661,2.302223,27.555803,1.0978679999999998,0.157322,0.01,0.43509050179211467,4.349854950716846,0.05672838261648749,0.1765059363799284,0.07160283036142473,0.2182233422939069,0.025190047995430107,6.085866151433692,2.0373077956989247,0.8815443548387096,0,0.4862405913978495,1.7947984991039425,0.4599742383512544,7.613645945340502,0.5748125000000002,0.015499161492069891,0,0.21607422724491443,0.15099265463227585,0.19979569240306191,0.27629918624909977,0.8950137499999999,1.0002893279569893,-0.10527557795698926,0.7408245564516129,0.4635736424731183,0.2772509139784946,0.029416747311827956,0.05069122311827957,-0.02127447580645161,5940.117403735386,13567.741935483871,24050.848193531063,1691.9996027936843,24.19,27.890690636200716,13.377582494825402,11.41906214358983,24.796644638415234,1.6652550537634407,1.514554193548387,20750.673833333334,9040.254845812642,6897.811206300231,4812.607781220461,18448.703610980934,1238.94976,1126.82832,9952.9213761501,8495.782234830833,665.89023,551.17347,21.88606,744.2152600000001,344.89879,37.71427,0.5394916404980336,0.46050835950196634,0.01754634581156467,0.17542111096668309,0.002287744307494057,0.007118137915582477,0.0028876015850344866,0.00880051900069709,0.001015865185098689,0.24543103472981184,0.08216062396372391,0.03555095327183951,0,0.07238070010179608,0.01854985805775743,0.30704339463514985,0.023181059711179404,6.25050756587382e-4,0.03609414753693872,0.029876000049777675,0.0011863196710999845
