year,total_emissions_tco2,total_generation_gwh,emissions_intensity_tco2_gwh
2020,23702154.415537767,223570.611994667,0.10601641335625611
2021,23720069.210702185,232918.61358226594,0.10183844410667654
2022,34936464.56454123,256611.68126328103,0.13614526194813698
2023,23815531.383038923,241912.58826702874,0.09844684624989744
2024,18935849.680100854,240509.32161218685,0.07873229009657377
