scenario,month,Solar PV,Wind,Conventional Hydro,Combined Cycle,Cogeneration,Nuclear,Battery,Pumped Hydro,Other Renewable,Other Non-Renewable
baseline,Jan,4.188637030206597,14.472741826171617,3.7243875160926314,6.299207911529073,0.639846016395495,3.4976174591112947,0.846100250945237,0.3901224094762907,3.014386744513198,0.2950763218111777
baseline,Feb,5.728034233960427,12.748932645114925,3.2792016619690125,5.688249153988248,0.6394376448594289,3.4710324465652143,0.910088264963042,0.4870836749866572,3.0832660477654708,0.2823109923936037
baseline,Mar,6.448249273955577,13.740299390373586,3.1910660735040834,3.446269873747453,0.6389993156689632,3.297817562985309,1.1934328449509535,0.7233791532113187,2.6299662668020063,0.26009635886456584
baseline,Apr,8.366353749864627,10.598178035416332,2.5818648471111287,2.4776818310307007,0.6385257895699538,3.1427607606855634,1.2513979152317563,0.9527876423504398,2.698999323948986,0.2322994334659524
baseline,May,10.354129360554031,10.295428770864902,2.113405135438377,2.290866035680815,0.6381288493614765,2.6547793306515453,1.3629597566514666,1.0540350123487807,2.8565203588119648,0.22964594731483534
baseline,Jun,10.833390295135873,8.566477722522112,1.7855296635281237,4.4310227358293535,0.6378470247765594,2.7971266043054515,1.062097384276194,1.0105838116455006,3.4073828862215496,0.27487884108774086
baseline,Jul,12.078465081245444,9.832657859319532,1.546550082070024,5.386179115637705,0.6377791361471337,3.5228958884329113,0.9142837625325244,0.9088914045709893,3.5373652999239336,0.2898925622238284
baseline,Aug,11.510708133930398,8.776396247754807,1.5383235456834559,5.338253240635107,0.6376203319839193,3.5222275110769843,1.017461781530363,1.0921789845692476,2.988206426307382,0.3056149203708902
baseline,Sep,9.175732821529515,9.147878718512109,1.5564519335864937,6.742651320123559,0.6376421254261434,3.4708167360741062,0.8453597993613486,0.816802179109178,2.492365930125973,0.30920649508622666
baseline,Oct,7.44542791339276,11.658389936512735,1.6059292810231514,6.910119171617339,0.6376690737717876,0.7903437956192951,0.8924696472098494,0.7797427538376345,2.164900478939556,0.30677717362672374
baseline,Nov,5.557987584990499,14.042771338811702,2.271596149578326,6.7814883797917895,0.636938383847915,0.7582287413875415,0.8072594778717528,0.5285094984163213,2.387241321636244,0.30012191079401784
baseline,Dec,4.329811934060183,15.07439383949055,3.053509436852463,7.4520867136024,0.6448586643878783,0.8115168821456152,0.8744774907548022,0.5118672249010223,2.9497982706942296,0.29917741471262715
